time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
1360	0	0	0	4	2	0	1	0	2	3	
1370	0	0	0	4	2	0	1	0	2	3	
1380	0	0	0	4	2	0	1	0	2	3	
1390	0	0	0	4	2	0	1	0	2	3	
1400	0	0	0	4	2	0	1	0	2	3	
1410	0	0	0	4	2	0	1	0	2	3	
1420	0	0	0	4	2	0	1	0	2	3	
1430	0	0	0	4	2	0	1	0	2	3	
1440	0	0	0	4	2	0	1	0	2	3	
1450	0	0	0	4	2	0	1	0	2	3	
1460	0	0	0	4	2	0	1	0	2	3	
1470	0	0	0	4	2	0	1	0	2	3	
1480	0	0	0	4	2	0	1	0	2	3	
1490	0	0	0	4	2	0	1	0	2	3	
1500	0	0	0	4	2	0	1	0	2	3	
1510	0	0	0	4	2	0	1	0	2	3	
1520	0	0	0	4	2	0	1	0	2	3	
1530	0	0	0	4	2	0	1	0	2	3	
1540	0	0	0	4	2	0	1	0	2	3	
1550	0	0	0	4	2	0	1	0	2	3	
1560	0	0	0	4	2	0	1	0	2	3	
1570	0	0	0	4	2	0	1	0	2	3	
1580	0	0	0	4	2	0	1	0	2	3	
1590	4	0	0	0	0	0	1	0	2	3	
1600	4	0	0	0	0	0	1	0	2	3	
1610	2	0	0	0	0	4	1	0	0	3	
1620	2	0	0	0	4	4	1	0	0	3	
1630	2	0	0	0	4	4	1	0	0	3	
1640	2	0	0	0	4	4	1	0	0	3	
1650	2	0	0	0	4	4	1	0	0	3	
1660	2	0	0	0	4	4	1	0	0	3	
1670	2	0	0	0	4	4	1	0	0	3	
1680	2	0	0	0	4	4	1	0	0	3	
1690	4	2	0	0	4	0	1	0	0	3	
1700	1	2	0	0	4	0	0	4	0	3	
1710	1	2	0	0	4	0	0	4	0	3	
1720	0	2	0	1	4	0	0	4	0	3	
1730	0	2	0	1	4	0	0	4	0	3	
1740	0	2	0	1	4	0	0	4	0	3	
1750	0	2	0	1	4	0	0	4	0	3	
1760	0	2	0	1	4	0	0	4	0	3	
1770	0	2	0	1	4	0	0	4	0	3	
1780	0	2	0	1	4	0	0	4	0	3	
1790	0	2	0	1	4	0	0	4	0	3	
1800	0	2	0	1	4	0	0	4	0	3	
1810	0	2	0	1	4	0	0	4	0	3	
1820	0	2	0	1	4	0	0	4	0	3	
1830	0	2	0	1	4	0	0	4	0	3	
1840	0	2	0	1	4	0	0	4	0	3	
1850	0	2	0	1	4	0	0	4	0	3	
1860	0	2	0	1	4	0	0	4	0	3	
1870	0	2	0	1	4	0	0	4	0	3	
1880	0	2	0	1	4	0	0	4	0	3	
1890	0	2	0	1	4	0	0	4	0	3	
1900	0	2	0	1	4	0	0	4	0	3	
1910	0	2	0	1	4	0	0	4	0	3	
1920	0	2	0	1	4	0	0	4	0	3	
1930	0	2	0	1	4	0	0	4	0	3	
1940	0	2	0	1	4	0	0	4	0	3	
1950	0	2	0	1	4	0	0	4	0	3	
1960	0	2	0	1	4	0	0	4	0	3	
1970	0	2	0	1	4	0	0	4	0	3	
1980	0	2	0	1	4	0	0	4	0	3	
1990	1	2	0	0	0	0	0	4	0	3	
2000	1	2	0	0	0	0	0	4	0	3	
2010	2	0	0	0	0	1	0	4	0	3	
2020	2	0	0	0	1	1	0	4	0	3	
2030	2	0	0	0	1	1	0	4	0	3	
2040	1	0	0	2	1	0	0	4	0	3	
2050	4	0	0	2	1	0	0	0	1	3	
2060	4	0	0	2	1	0	0	0	1	3	
2070	0	0	0	2	1	0	4	0	1	3	
2080	0	0	0	2	1	0	4	0	1	3	
2090	0	0	0	2	1	0	4	0	1	3	
2100	0	0	0	2	1	0	4	0	1	3	
2110	0	0	0	2	1	0	4	0	1	3	
2120	0	0	0	2	1	0	4	0	1	3	
2130	0	0	0	2	1	0	4	0	1	3	
2140	0	0	0	2	1	0	4	0	1	3	
2150	0	0	0	2	1	0	4	0	1	3	
2160	0	0	0	2	1	0	4	0	1	3	
2170	0	0	0	2	1	0	4	0	1	3	
2180	0	0	0	2	1	0	4	0	1	3	
2190	0	0	0	2	1	0	4	0	1	3	
2200	0	0	0	2	1	0	4	0	1	3	
2210	0	0	0	2	1	0	4	0	1	3	
2220	0	0	0	2	1	0	4	0	1	3	
2230	0	0	0	2	1	0	4	0	1	3	
2240	0	0	0	2	1	0	4	0	1	3	
2250	0	0	0	2	1	0	4	0	1	3	
2260	0	0	0	2	1	0	4	0	1	3	
2270	0	0	0	2	1	0	4	0	1	3	
2280	0	0	0	2	1	0	4	0	1	3	
2290	0	0	0	2	1	0	4	0	1	3	
2300	0	0	0	2	1	0	4	0	1	3	
2310	0	0	0	2	1	0	4	0	1	3	
2320	0	0	0	2	1	0	4	0	1	3	
2330	0	0	0	2	1	0	4	0	1	3	
2340	0	0	0	2	1	0	4	0	1	3	
2350	0	0	0	2	1	0	4	0	1	3	
2360	0	0	0	2	1	0	4	0	1	3	
2370	0	0	0	2	1	0	4	0	1	3	
2380	2	0	0	0	0	0	4	0	1	3	
2390	2	0	0	0	0	0	4	0	1	3	
2400	1	0	0	0	0	2	4	0	0	3	
2410	1	0	0	0	2	2	4	0	0	3	
2420	1	0	0	0	2	2	4	0	0	3	
2430	1	0	0	0	2	2	4	0	0	3	
2440	1	0	0	0	2	2	4	0	0	3	
2450	1	0	0	0	2	2	4	0	0	3	
2460	1	0	0	0	2	2	4	0	0	3	
2470	1	0	0	0	2	2	4	0	0	3	
2480	2	1	0	0	2	0	4	0	0	3	
2490	4	1	0	0	2	0	0	2	0	3	
2500	4	1	0	0	2	0	0	2	0	3	
2510	0	1	0	4	2	0	0	2	0	3	
2520	0	1	0	4	2	0	0	2	0	3	
2530	0	1	0	4	2	0	0	2	0	3	
2540	0	1	0	4	2	0	0	2	0	3	
2550	0	1	0	4	2	0	0	2	0	3	
2560	0	1	0	4	2	0	0	2	0	3	
2570	0	1	0	4	2	0	0	2	0	3	
2580	0	1	0	4	2	0	0	2	0	3	
2590	0	1	0	4	2	0	0	2	0	3	
2600	0	1	0	4	2	0	0	2	0	3	
2610	0	1	0	4	2	0	0	2	0	3	
2620	0	1	0	4	2	0	0	2	0	3	
2630	0	1	0	4	2	0	0	2	0	3	
2640	0	1	0	4	2	0	0	2	0	3	
2650	0	1	0	4	2	0	0	2	0	3	
2660	0	1	0	4	2	0	0	2	0	3	
2670	0	1	0	4	2	0	0	2	0	3	
2680	0	1	0	4	2	0	0	2	0	3	
2690	0	1	0	4	2	0	0	2	0	3	
2700	0	1	0	4	2	0	0	2	0	3	
2710	0	1	0	4	2	0	0	2	0	3	
2720	0	1	0	4	2	0	0	2	0	3	
2730	0	1	0	4	2	0	0	2	0	3	
2740	0	1	0	4	2	0	0	2	0	3	
2750	0	1	0	4	2	0	0	2	0	3	
2760	0	1	0	4	2	0	0	2	0	3	
2770	0	1	0	4	2	0	0	2	0	3	
2780	0	1	0	4	2	0	0	2	0	3	
2790	0	1	0	4	2	0	0	2	0	3	
2800	4	1	0	0	0	0	0	2	0	3	
2810	4	1	0	0	0	0	0	2	0	3	
2820	1	0	0	0	0	4	0	2	0	3	
2830	1	0	0	0	4	4	0	2	0	3	
2840	1	0	0	0	4	4	0	2	0	3	
2850	4	0	0	1	4	0	0	2	0	3	
2860	2	0	0	1	4	0	0	0	4	3	
2870	2	0	0	1	4	0	0	0	4	3	
2880	0	0	0	1	4	0	2	0	4	3	
2890	0	0	0	1	4	0	2	0	4	3	
2900	0	0	0	1	4	0	2	0	4	3	
2910	0	0	0	1	4	0	2	0	4	3	
2920	0	0	0	1	4	0	2	0	4	3	
2930	0	0	0	1	4	0	2	0	4	3	
2940	0	0	0	1	4	0	2	0	4	3	
2950	0	0	0	1	4	0	2	0	4	3	
2960	0	0	0	1	4	0	2	0	4	3	
2970	0	0	0	1	4	0	2	0	4	3	
2980	0	0	0	1	4	0	2	0	4	3	
2990	0	0	0	1	4	0	2	0	4	3	
3000	0	0	0	1	4	0	2	0	4	3	
3010	0	0	0	1	4	0	2	0	4	3	
3020	0	0	0	1	4	0	2	0	4	3	
3030	0	0	0	1	4	0	2	0	4	3	
3040	0	0	0	1	4	0	2	0	4	3	
3050	0	0	0	1	4	0	2	0	4	3	
3060	0	0	0	1	4	0	2	0	4	3	
3070	0	0	0	1	4	0	2	0	4	3	
3080	0	0	0	1	4	0	2	0	4	3	
3090	0	0	0	1	4	0	2	0	4	3	
3100	0	0	0	1	4	0	2	0	4	3	
3110	0	0	0	1	4	0	2	0	4	3	
3120	0	0	0	1	4	0	2	0	4	3	
3130	0	0	0	1	4	0	2	0	4	3	
3140	0	0	0	1	4	0	2	0	4	3	
3150	0	0	0	1	4	0	2	0	4	3	
3160	0	0	0	1	4	0	2	0	4	3	
3170	0	0	0	1	4	0	2	0	4	3	
3180	0	0	0	1	4	0	2	0	4	3	
3190	1	0	0	0	0	0	2	0	4	3	
3200	1	0	0	0	0	0	2	0	4	3	
3210	4	0	0	0	0	1	2	0	0	3	
3220	4	0	0	0	1	1	2	0	0	3	
3230	4	0	0	0	1	1	2	0	0	3	
3240	4	0	0	0	1	1	2	0	0	3	
3250	4	0	0	0	1	1	2	0	0	3	
3260	4	0	0	0	1	1	2	0	0	3	
3270	4	0	0	0	1	1	2	0	0	3	
3280	4	0	0	0	1	1	2	0	0	3	
3290	1	4	0	0	1	0	2	0	0	3	
3300	2	4	0	0	1	0	0	1	0	3	
3310	2	4	0	0	1	0	0	1	0	3	
3320	0	4	0	2	1	0	0	1	0	3	
3330	0	4	0	2	1	0	0	1	0	3	
3340	0	4	0	2	1	0	0	1	0	3	
3350	0	4	0	2	1	0	0	1	0	3	
3360	0	4	0	2	1	0	0	1	0	3	
3370	0	4	0	2	1	0	0	1	0	3	
3380	0	4	0	2	1	0	0	1	0	3	
3390	0	4	0	2	1	0	0	1	0	3	
