time	manip	gran	press	averat	laba	proba	StZn
1820	0	1	1	2	1	0	0	
1830	0	1	1	2	1	0	0	
1840	0	1	1	2	1	0	0	
1850	0	1	1	2	1	0	0	
1860	0	1	1	2	1	0	0	
1870	0	1	1	2	1	0	0	
1880	0	1	1	2	1	0	0	
1890	0	1	1	2	1	0	0	
1900	0	1	1	2	1	0	0	
1910	0	2	1	2	1	0	0	
1920	0	2	1	2	1	0	0	
1930	0	2	2	2	1	0	0	
1940	0	2	0	2	1	0	0	
1950	0	2	0	2	1	0	0	
1960	0	2	0	2	1	0	0	
1970	0	2	0	2	1	0	0	
1980	0	2	0	2	1	0	0	
1990	0	2	0	2	2	0	0	
2000	1	2	0	0	0	0	0	
2010	0	2	0	0	0	0	0	
2020	1	0	0	0	0	2	0	
2030	1	0	0	0	1	2	0	
2040	0	0	0	0	1	2	0	
2050	0	0	0	1	1	0	0	
2060	1	0	0	1	1	0	0	
2070	0	0	0	1	1	0	0	
2080	0	0	0	1	1	0	1	
2090	0	0	0	1	1	0	1	
2100	0	0	0	1	1	0	2	
2110	0	0	0	1	1	0	2	
2120	0	0	0	1	1	0	2	
2130	0	0	0	2	1	0	2	
2140	0	0	0	2	1	0	2	
2150	0	0	0	2	1	0	2	
2160	0	0	0	2	1	0	2	
2170	0	0	0	2	1	0	2	
2180	0	0	0	2	1	0	2	
2190	0	0	0	2	1	0	2	
2200	0	0	0	2	1	0	2	
2210	0	0	0	2	1	0	2	
2220	0	0	0	2	1	0	2	
2230	0	0	0	2	1	0	2	
2240	0	0	0	2	1	0	2	
2250	0	0	0	2	1	0	2	
2260	0	0	0	2	1	0	2	
2270	0	0	0	2	1	0	2	
2280	0	0	0	2	1	0	2	
2290	0	0	0	2	1	0	2	
2300	0	0	0	2	1	0	2	
2310	0	0	0	2	1	0	2	
2320	0	0	0	2	1	0	2	
2330	0	0	0	2	1	0	2	
2340	0	0	0	2	1	0	2	
2350	0	0	0	2	1	0	2	
2360	0	0	0	2	1	0	2	
2370	0	0	0	2	1	0	2	
2380	0	0	0	2	2	0	2	
2390	1	0	0	0	0	0	2	
2400	0	0	0	0	0	0	2	
2410	1	0	0	0	0	2	2	
2420	1	0	0	0	1	2	2	
2430	0	0	0	0	1	2	2	
2440	1	0	1	0	1	2	2	
2450	1	0	1	0	1	2	2	
2460	1	0	1	0	1	2	2	
2470	1	0	1	0	1	2	2	
2480	0	0	1	0	1	2	2	
2490	0	1	1	0	1	0	2	
2500	1	1	1	0	1	0	0	
2510	0	1	1	0	1	0	0	
2520	0	1	1	1	1	0	0	
2530	0	1	1	1	1	0	0	
2540	0	1	1	1	1	0	0	
2550	0	1	1	1	1	0	0	
2560	0	1	1	1	1	0	0	
2570	0	1	1	1	1	0	0	
2580	0	1	1	1	1	0	0	
2590	0	1	1	1	1	0	0	
2600	0	1	1	2	1	0	0	
2610	0	1	1	2	1	0	0	
2620	0	1	1	2	1	0	0	
2630	0	1	1	2	1	0	0	
2640	0	1	1	2	1	0	0	
2650	0	1	1	2	1	0	0	
2660	0	1	1	2	1	0	0	
2670	0	1	1	2	1	0	0	
2680	0	1	1	2	1	0	0	
2690	0	1	1	2	1	0	0	
2700	0	2	1	2	1	0	0	
2710	0	2	1	2	1	0	0	
2720	0	2	1	2	1	0	0	
2730	0	2	2	2	1	0	0	
2740	0	2	0	2	1	0	0	
2750	0	2	0	2	1	0	0	
2760	0	2	0	2	1	0	0	
2770	0	2	0	2	1	0	0	
2780	0	2	0	2	1	0	0	
2790	0	2	0	2	1	0	0	
2800	0	2	0	2	2	0	0	
2810	1	2	0	0	0	0	0	
2820	0	2	0	0	0	0	0	
2830	1	0	0	0	0	2	0	
2840	1	0	0	0	1	2	0	
2850	0	0	0	0	1	2	0	
2860	0	0	0	1	1	0	0	
2870	1	0	0	1	1	0	0	
2880	0	0	0	1	1	0	0	
2890	0	0	0	1	1	0	1	
2900	0	0	0	1	1	0	1	
2910	0	0	0	1	1	0	2	
2920	0	0	0	1	1	0	2	
2930	0	0	0	1	1	0	2	
2940	0	0	0	2	1	0	2	
2950	0	0	0	2	1	0	2	
2960	0	0	0	2	1	0	2	
2970	0	0	0	2	1	0	2	
2980	0	0	0	2	1	0	2	
2990	0	0	0	2	1	0	2	
3000	0	0	0	2	1	0	2	
3010	0	0	0	2	1	0	2	
3020	0	0	0	2	1	0	2	
3030	0	0	0	2	1	0	2	
3040	0	0	0	2	1	0	2	
3050	0	0	0	2	1	0	2	
3060	0	0	0	2	1	0	2	
3070	0	0	0	2	1	0	2	
3080	0	0	0	2	1	0	2	
3090	0	0	0	2	1	0	2	
3100	0	0	0	2	1	0	2	
3110	0	0	0	2	1	0	2	
3120	0	0	0	2	1	0	2	
3130	0	0	0	2	1	0	2	
3140	0	0	0	2	1	0	2	
3150	0	0	0	2	1	0	2	
3160	0	0	0	2	1	0	2	
3170	0	0	0	2	1	0	2	
3180	0	0	0	2	1	0	2	
3190	0	0	0	2	2	0	2	
3200	1	0	0	0	0	0	2	
3210	0	0	0	0	0	0	2	
3220	1	0	0	0	0	2	2	
3230	1	0	0	0	1	2	2	
3240	0	0	0	0	1	2	2	
3250	1	0	1	0	1	2	2	
3260	1	0	1	0	1	2	2	
3270	1	0	1	0	1	2	2	
3280	1	0	1	0	1	2	2	
3290	0	0	1	0	1	2	2	
3300	0	1	1	0	1	0	2	
3310	1	1	1	0	1	0	0	
3320	0	1	1	0	1	0	0	
3330	0	1	1	1	1	0	0	
3340	0	1	1	1	1	0	0	
3350	0	1	1	1	1	0	0	
3360	0	1	1	1	1	0	0	
3370	0	1	1	1	1	0	0	
3380	0	1	1	1	1	0	0	
3390	0	1	1	1	1	0	0	
3400	0	1	1	1	1	0	0	
3410	0	1	1	2	1	0	0	
3420	0	1	1	2	1	0	0	
3430	0	1	1	2	1	0	0	
3440	0	1	1	2	1	0	0	
3450	0	1	1	2	1	0	0	
3460	0	1	1	2	1	0	0	
3470	0	1	1	2	1	0	0	
3480	0	1	1	2	1	0	0	
3490	0	1	1	2	1	0	0	
3500	0	1	1	2	1	0	0	
3510	0	2	1	2	1	0	0	
3520	0	2	1	2	1	0	0	
3530	0	2	2	2	1	0	0	
3540	0	2	0	2	1	0	0	
3550	0	2	0	2	1	0	0	
3560	0	2	0	2	1	0	0	
3570	0	2	0	2	1	0	0	
3580	0	2	0	2	1	0	0	
3590	0	2	0	2	1	0	0	
3600	0	2	0	2	1	0	0	
3610	0	2	0	2	2	0	0	
